pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:17:54Z,0.0,68,0,0.97,32.54,0.0,3
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:17:54Z,0.0,33,0,1.86,33.42,0.0,-24
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:17:54Z,0.0,85,0,1.44,34.3,0.0,10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:17:54Z,0.0,66,0,1.16,27.54,0.0,-17
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:17:54Z,0.0,60,0,1.99,34.79,0.0,-35
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:17:54Z,0.0,29,0,1.75,26.69,0.0,-5
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:17:54Z,0.0,54,0,1.46,33.75,0.0,6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:19:00Z,0.0,67,0,0.83,32.54,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:19:00Z,0.0,45,0,0.92,33.43,0.0,12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:19:00Z,0.0,75,0,1.11,34.3,0.0,-10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:19:00Z,0.0,65,0,0.72,27.54,0.0,-1
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:19:00Z,0.0,75,0,1.11,34.79,0.0,15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:19:00Z,0.0,29,0,1.13,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:19:00Z,0.0,45,0,1.25,33.77,0.0,-9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:20:07Z,0.0,66,0,1.04,32.54,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:20:07Z,0.0,33,0,1.57,33.45,0.0,-12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:20:07Z,0.0,65,0,1.6,34.3,0.0,-10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:20:07Z,0.0,65,0,0.77,27.54,0.0,0
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:20:07Z,0.0,75,0,1.01,34.79,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:20:07Z,0.0,28,0,1.29,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:20:07Z,0.0,51,0,1.05,33.78,0.0,6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:21:14Z,0.0,68,0,0.74,32.54,0.0,2
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:21:14Z,0.0,48,0,0.84,33.46,0.0,15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:21:14Z,0.0,70,0,1.0,34.3,0.0,5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:21:14Z,0.0,61,0,0.73,27.54,0.0,-4
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:21:14Z,0.0,65,0,1.11,34.79,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:21:14Z,0.0,27,0,1.16,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:21:14Z,0.0,36,0,1.27,33.8,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:22:20Z,0.0,66,0,0.91,32.54,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:22:20Z,0.0,45,0,1.48,33.48,0.0,-3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:22:20Z,0.0,65,0,1.14,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:22:20Z,0.0,66,0,0.69,27.54,0.0,5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:22:20Z,0.0,75,0,1.2,34.79,0.0,10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:22:20Z,0.0,28,0,1.25,26.69,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:22:20Z,0.0,39,0,0.88,33.81,0.0,3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:23:27Z,0.0,72,0,0.81,32.54,0.0,6
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:23:27Z,0.0,45,0,1.17,33.5,0.0,0
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:23:27Z,0.0,70,0,1.02,34.3,0.0,5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:23:27Z,0.0,61,0,0.74,27.54,0.0,-5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:23:27Z,0.0,75,0,1.29,34.79,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:23:27Z,0.0,29,0,1.24,26.69,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:23:27Z,0.0,42,0,1.14,33.82,0.0,3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:24:34Z,0.0,53,0,0.69,32.55,0.0,-19
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:24:34Z,0.0,48,0,1.12,33.51,0.0,3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:24:34Z,0.0,85,0,1.06,34.3,0.0,15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:24:34Z,0.0,77,0,0.74,27.54,0.0,16
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:24:34Z,0.0,55,0,2.74,34.79,0.0,-20
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:24:34Z,0.0,28,0,1.12,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:24:34Z,0.0,36,0,0.98,33.84,0.0,-6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:25:40Z,0.0,62,0,0.88,32.56,0.0,9
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:25:40Z,0.0,36,0,1.2,33.53,0.0,-12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:25:40Z,0.0,70,0,1.56,34.3,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:25:40Z,0.0,69,0,0.77,27.55,0.0,-8
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:25:40Z,0.0,70,0,0.83,34.78,0.0,15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:25:40Z,0.0,28,0,1.29,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:25:40Z,0.0,48,0,1.29,33.86,0.0,12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:26:47Z,0.0,63,0,0.78,32.56,0.0,1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:26:47Z,0.0,46,0,1.22,33.54,0.0,10
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:26:47Z,0.0,65,0,1.16,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:26:47Z,0.0,72,0,0.86,27.55,0.0,3
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:26:47Z,0.0,80,0,1.24,34.79,0.0,10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:26:47Z,0.0,29,0,1.24,26.69,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:26:47Z,0.0,42,0,1.19,33.87,0.0,-6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:27:54Z,0.0,71,0,0.98,32.56,0.0,8
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:27:54Z,0.0,39,0,1.5,33.55,0.0,-7
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:27:54Z,0.0,85,0,1.02,34.3,0.0,20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:27:54Z,0.0,69,0,0.83,27.55,0.0,-3
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:27:54Z,0.0,70,0,1.69,34.79,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:27:54Z,0.0,31,0,1.49,26.69,0.0,2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:27:54Z,0.0,54,0,1.23,33.89,0.0,12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:29:00Z,0.0,65,0,0.88,32.54,0.0,-6
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:29:01Z,0.0,39,0,1.07,33.57,0.0,0
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:29:01Z,0.0,80,0,1.25,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:29:01Z,0.0,70,0,0.8,27.55,0.0,1
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:29:01Z,0.0,65,0,1.19,34.78,0.0,-5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:29:01Z,0.0,29,0,1.29,26.69,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:29:01Z,0.0,48,0,1.32,33.91,0.0,-6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:30:07Z,0.0,69,0,0.77,32.54,0.0,4
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:30:07Z,0.0,36,0,1.08,33.58,0.0,-3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:30:07Z,0.0,75,0,1.01,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:30:07Z,0.0,65,0,0.81,27.55,0.0,-5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:30:07Z,0.0,75,0,1.34,34.78,0.0,10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:30:07Z,0.0,29,0,1.25,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:30:07Z,0.0,52,0,1.28,33.92,0.0,4
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:31:14Z,0.0,76,0,0.84,32.54,0.0,7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:31:14Z,0.0,36,0,1.07,33.59,0.0,0
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:31:14Z,0.0,70,0,1.47,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:31:14Z,0.0,60,0,0.9,27.55,0.0,-5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:31:14Z,0.0,80,0,1.09,34.78,0.0,5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:31:14Z,0.0,30,0,1.34,26.69,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:31:14Z,0.0,54,0,1.48,33.95,0.0,2
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:32:21Z,0.0,67,0,0.78,32.54,0.0,-9
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:32:21Z,0.0,45,0,0.92,33.6,0.0,9
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:32:21Z,0.0,70,0,0.82,34.3,0.0,0
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:32:21Z,0.0,63,0,0.72,27.55,0.0,3
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:32:21Z,0.0,65,0,1.31,34.78,0.0,-15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:32:21Z,0.0,27,0,1.15,26.69,0.0,-3
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:32:21Z,0.0,36,0,1.27,33.96,0.0,-18
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:33:27Z,0.0,72,0,0.83,32.54,0.0,5
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:33:27Z,0.0,45,0,1.21,33.62,0.0,0
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:33:27Z,0.0,65,0,2.66,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:33:27Z,0.0,66,0,0.75,27.55,0.0,3
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:33:27Z,0.0,85,0,1.07,34.78,0.0,20
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:33:27Z,0.0,30,0,1.19,26.69,0.0,3
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:33:27Z,0.0,45,0,1.03,33.98,0.0,9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:34:34Z,0.0,65,0,0.84,32.55,0.0,-7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:34:34Z,0.0,39,0,1.33,33.64,0.0,-6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:34:34Z,0.0,55,0,1.12,34.3,0.0,-10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:34:34Z,0.0,70,0,0.86,27.56,0.0,4
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:34:34Z,0.0,90,0,1.46,34.78,0.0,5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:34:34Z,0.0,29,0,1.4,26.69,0.0,-1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:34:34Z,0.0,48,0,1.27,33.99,0.0,3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:35:41Z,0.0,58,0,0.88,32.56,0.0,-7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:35:41Z,0.0,24,0,1.22,33.66,0.0,-15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:35:41Z,0.0,75,0,1.07,34.3,0.0,20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:35:41Z,0.0,69,0,0.82,27.56,0.0,-1
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:35:41Z,0.0,60,0,1.39,34.78,0.0,-30
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:35:41Z,0.0,27,0,1.36,26.69,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:35:41Z,0.0,57,0,1.33,34.01,0.0,9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:36:47Z,0.0,54,0,0.82,32.56,0.0,-4
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:36:47Z,0.0,51,0,0.69,33.66,0.0,27
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:36:47Z,0.0,85,0,1.34,34.3,0.0,10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:36:47Z,0.0,75,0,0.74,27.57,0.0,6
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:36:47Z,0.0,50,0,0.88,34.78,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:36:47Z,0.0,27,0,1.13,26.69,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:36:47Z,0.0,30,0,1.52,34.04,0.0,-27
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:37:54Z,0.0,58,0,0.72,32.57,0.0,4
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:37:54Z,0.0,33,0,1.33,33.68,0.0,-18
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:37:54Z,0.0,80,0,1.33,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:37:54Z,0.0,66,0,0.87,27.58,0.0,-9
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:37:54Z,0.0,50,0,1.11,34.78,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:37:54Z,0.0,25,0,1.19,26.69,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:37:54Z,0.0,42,0,0.94,34.04,0.0,12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:39:01Z,0.0,73,0,0.83,32.57,0.0,15
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:39:01Z,0.0,48,0,1.04,33.69,0.0,15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:39:01Z,0.0,85,0,1.39,34.3,0.0,5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:39:01Z,0.0,51,0,0.7,27.59,0.0,-15
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:39:01Z,0.0,50,0,0.84,34.77,0.0,0
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:39:01Z,0.0,26,0,1.16,26.68,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:39:01Z,0.0,30,0,1.21,34.05,0.0,-12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:40:07Z,0.0,71,0,1.89,32.57,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:40:07Z,0.0,42,0,1.48,33.71,0.0,-6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:40:07Z,0.0,65,0,1.25,34.3,0.0,-20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:40:07Z,0.0,68,0,0.76,27.6,0.0,17
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:40:08Z,0.0,90,0,1.17,34.78,0.0,40
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:40:08Z,0.0,31,0,1.34,26.68,0.0,5
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:40:08Z,0.0,51,0,0.96,34.07,0.0,21
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:41:14Z,0.0,57,0,0.77,32.57,0.0,-14
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:41:14Z,0.0,27,0,0.82,33.71,0.0,-15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:41:14Z,0.0,60,0,1.11,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:41:14Z,0.0,65,0,1.75,27.61,0.0,-3
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:41:14Z,0.0,65,0,1.2,34.78,0.0,-25
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:41:14Z,0.0,25,0,1.22,26.68,0.0,-6
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:41:14Z,0.0,48,0,1.42,34.09,0.0,-3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:42:21Z,0.0,58,0,0.8,32.57,0.0,1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:42:21Z,0.0,48,0,1.05,33.73,0.0,21
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:42:21Z,0.0,75,0,1.05,34.3,0.0,15
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:42:21Z,0.0,70,0,0.71,27.61,0.0,5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:42:21Z,0.0,63,0,1.11,34.78,0.0,-2
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:42:21Z,0.0,27,0,1.11,26.68,0.0,2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:42:21Z,0.0,36,0,1.15,34.1,0.0,-12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:43:28Z,0.0,61,0,0.64,32.57,0.0,3
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:43:28Z,0.0,33,0,1.19,33.75,0.0,-15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:43:28Z,0.0,70,0,1.05,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:43:28Z,0.0,75,0,0.94,27.61,0.0,5
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:43:28Z,0.0,70,0,1.28,34.78,0.0,7
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:43:28Z,0.0,28,0,1.31,26.68,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:43:28Z,0.0,54,0,1.19,34.12,0.0,18
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:44:34Z,0.0,76,0,0.77,32.57,0.0,15
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:44:34Z,0.0,45,0,1.27,33.77,0.0,12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:44:34Z,0.0,65,0,1.43,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:44:34Z,0.0,55,0,0.84,27.61,0.0,-20
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:44:34Z,0.0,75,0,1.01,34.78,0.0,5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:44:34Z,0.0,28,0,1.3,26.68,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:44:34Z,0.0,39,0,3.79,34.25,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:45:41Z,0.0,69,0,0.84,32.57,0.0,-7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:45:41Z,0.0,30,0,1.17,33.78,0.0,-15
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:45:41Z,0.0,45,0,0.97,34.3,0.0,-20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:45:41Z,0.0,63,0,0.6,27.61,0.0,8
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:45:41Z,0.0,95,0,1.22,34.78,0.0,20
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:45:41Z,0.0,29,0,1.13,26.68,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:45:41Z,0.0,54,0,1.02,34.25,0.0,15
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:46:48Z,0.0,75,0,0.91,32.57,0.0,6
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:46:48Z,0.0,42,0,0.8,33.79,0.0,12
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:46:48Z,0.0,80,0,1.14,34.3,0.0,35
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:46:48Z,0.0,56,0,0.65,27.61,0.0,-7
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:46:48Z,0.0,55,0,1.38,34.78,0.0,-40
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:46:48Z,0.0,27,0,1.22,26.68,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T11:46:48Z,0.0,39,0,1.55,34.26,0.0,-15
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T11:47:54Z,0.0,64,0,0.94,32.57,0.0,-11
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T11:47:54Z,0.0,45,0,1.2,33.81,0.0,3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T11:47:54Z,0.0,60,0,1.17,34.3,0.0,-20
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T11:47:54Z,0.0,82,0,0.55,27.61,0.0,26
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T11:47:54Z,0.0,100,0,0.98,34.78,0.0,45
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T11:47:54Z,0.0,32,0,1.14,26.68,0.0,5
