pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:18:01Z,0.0,65,0,0.95,27.51,0.0,-12
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:18:01Z,0.0,70,0,1.01,34.71,0.0,15
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:18:01Z,0.0,25,0,1.29,26.7,0.0,-4
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:18:01Z,0.0,42,0,1.22,32.92,0.0,-9
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:19:07Z,0.0,56,0,0.76,32.61,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:19:07Z,0.0,54,0,1.31,32.59,0.0,18
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:19:07Z,0.0,85,0,1.14,34.3,0.0,30
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:19:07Z,0.0,74,0,0.94,27.51,0.0,9
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:19:07Z,0.0,60,0,1.38,34.71,0.0,-10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:19:07Z,0.0,28,0,1.28,26.7,0.0,3
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:19:07Z,0.0,30,0,1.17,32.92,0.0,-12
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:20:14Z,0.0,57,0,0.66,32.6,0.0,1
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:20:14Z,0.0,45,0,1.39,32.61,0.0,-9
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:20:14Z,0.0,75,0,1.14,34.3,0.0,-10
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:20:14Z,0.0,74,0,0.96,27.51,0.0,0
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:20:14Z,0.0,65,0,1.28,34.71,0.0,5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:20:14Z,0.0,28,0,1.28,26.7,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:20:14Z,0.0,39,0,1.07,32.93,0.0,9
